           1           1   50.0000000    
           2           1   50.0000000    
           3           1   50.0000000    
           4           1   50.0000000    
           5           1   50.0000000    
           1           2   75.0000000    
           2           2   31.2500000    
           3           2   20.3125000    
           4           2   42.5781250    
           5           2   100.000000    
           1           3   75.0000000    
           2           3   26.5625000    
           3           3   11.7187500    
           4           3   38.5742188    
           5           3   100.000000    
           1           4   75.0000000    
           2           4   100.390625    
           3           4   103.027344    
           4           4   135.400391    
           5           4   100.000000    
           1           5   300.000000    
           2           5   300.000000    
           3           5   300.000000    
           4           5   300.000000    
           5           5   300.000000    
